Facility	Latitude	Longitude	Total On-site Disposal or Other Releases	Total Off-site Disposal or Other Releases	Total On- and Off-site Disposal or Other Releases
"RED DOG OPERATIONS.90 MILES N OF KOTZEBUE, KOTZEBUE ALASKA 99752 (NORTHWEST ARCTIC)"	68.064	-162.849	"756,434,486.65"	"6,942.70"	"756,441,429.35"
"KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT.8362 WEST 10200 SOUTH, BINGHAM CANYON UTAH 84006 (SALT LAKE)"	40.517	-112.15	"201,224,942.00"	"3,145.00"	"201,228,087.00"
"NEWMONT MINING CORP TWIN CREEKS MINE.35 MILES NE OF GOLCONDA, GOLCONDA NEVADA 89414 (HUMBOLDT)"	41.253	-117.168	"100,178,969.00"	"4,819.01"	"100,183,788.01"
"NEWMONT MINING CORP COPPER CANYON FACILITY.12 MI SE OF BATTLE MOUNTAIN COPPER CANYON FACILITY, BATTLE MOUNTAIN NEVADA 89820 (LANDER)"	40.599	-116.874	"56,901,647.10"	0	"56,901,647.10"
"KENNECOTT UTAH COPPER SMELTER & REFINERY.12000 WEST 2100 SOUTH & 11500 W 2100 S, MAGNA UTAH 84044 (SALT LAKE)"	40.735	-112.124	"47,702,283.00"	259	"47,702,542.00"
"NEWMONT MINING CORP - CARLIN SOUTH AREA.6 MILES N OF CARLIN, CARLIN NEVADA 89822 (EUREKA)"	40.784	-116.212	"47,635,653.80"	"21,685.00"	"47,657,338.80"
"HECLA GREENS CREEK MINING CO.13401 GLACIER HWY, JUNEAU ALASKA 99801 (JUNEAU)"	58.082	-134.641	"41,780,361.00"	.	"41,780,361.00"
"ASARCO LLC RAY COMPLEX/ HAYDEN SMELTER & CONCENTRATOR.6094 N ASARCO ROAD, HAYDEN ARIZONA 85135 (GILA)"	33.002	-110.778	"33,732,323.82"	"1,972.84"	"33,734,296.67"
"ASCEND PERFORMANCE MATERIALS-CHOCOLATE BAYOU PLANT.1 MONSANTO RD FM 2917, ALVIN TEXAS 77511 (BRAZORIA)"	29.25	-95.215	"33,153,887.62"	0	"33,153,887.62"
"ASCEND PERFORMANCE MATERIALS OPERATIONS LLC.3000 OLD CHEMSTRAND RD, CANTONMENT FLORIDA 32533 (ESCAMBIA)"	30.598	-87.249	"32,024,378.00"	"22,459.24"	"32,046,837.24"
"BASIN ELECTRIC ANTELOPE VALLEY STATION.294 COUNTY 15, BEULAH NORTH DAKOTA 58523 (MERCER)"	47.37	-101.838	"16,610,946.02"	"11,036,726.00"	"27,647,672.02"
"BARRICK GOLDSTRIKE MINES INC.27 MILES N OF CARLIN NEVADA, CARLIN NEVADA 89822 (ELKO)"	40.974	-116.35	"25,701,091.00"	"206,835.80"	"25,907,926.80"
